Chidamber-Kemerer metrics	周日	 9 10月 2022 17:25:46 CST				
Class				CBO	DIT	LCOM	NOC	RFC	WMC
Export				2	6	1	0	39	17
Print				2	6	0	0	12	1
SCread				1	1	1	0	3	11
about				1	6	0	0	16	1
about.aboutFrame			2	1	1	0	3	1
miniFunctions			7	1	4	0	75	39
miniFunctions.CopyButton		1	1	1	0	2	1
miniFunctions.CutButton		1	1	1	0	2	1
miniFunctions.ExportButton		2	1	1	0	3	1
miniFunctions.NewButton		3	6	1	0	14	7
miniFunctions.OpenButton		2	6	1	0	6	2
miniFunctions.PasteButton		1	1	1	0	2	1
miniFunctions.PrintButton		2	1	1	0	2	1
miniFunctions.SaveButton		3	6	1	0	6	2
miniFunctions.SelectAllButton	1	1	1	0	2	1
miniFunctions.TimeActionListener	1	1	1	0	8	2
miniFunctions.emptyCheck		1	6	1	0	8	4
miniFunctions.scale			1	2	1	0	12	4
miniFunctions.scaleDown		1	1	1	0	7	1
miniFunctions.scaleUp		1	1	1	0	7	1
miniFunctions.statusBarInvisibility	1	1	1	0	5	2
miniFunctions.wordCount		2	1	1	0	7	2
notepad				25	6	1	0	49	10
notepadTest			3	1	3	0	26	5
search				11	6	1	0	62	17
search.searchFrame		2	1	1	0	2	1
search.searching			1	1	1	0	2	1
search.searchingDown		2	1	1	0	5	2
search.searchingUp			2	1	1	0	5	2
search.updateCa			1	1	1	0	2	1
search.updateCi			1	1	1	0	2	1
search.updateDown		1	1	1	0	2	1
search.updateT			1	1	7	0	8	7
search.updateUp			1	1	1	0	2	1
